year,domain,jobs,weighted_jobs,growth,year_total,market_share
2025.0,AI/ML,2762,2235.7,,27468.3,8.14
2025.0,Cloud Computing,2026,1696.7,,27468.3,6.18
2025.0,Cybersecurity,3132,2408.9,,27468.3,8.77
2025.0,Data Science,6618,4996.0,,27468.3,18.19
2025.0,DevOps,4636,3543.2999999999997,,27468.3,12.9
2025.0,Software Engineering,16074,10370.1,,27468.3,37.75
2025.0,Web Development,3042,2217.6,,27468.3,8.07
