Company Name,Role,Base,CTC
Vyapar App,Software Engineer - 1,12,20
Citymall,Product Analyst,10,20
NetApp,Software Engineer (Cloud),,20
F5 ,Software Engineer ,,20
Akamai Technologies,Software Engineer,14.36,19.89
JPMorgan Chase & Co.,Software Engineer ,13.5,19.5
Applied Materials,,,19.5
Oracle,Associate Application Developer,14.5,19.18
American Express,Engineer Trainee,13.87,19.15
Suki.ai,Software Development Engineer in Test (Women Only),19,19
Superjoin,Engineering Explorer,13,19
Nation with Namo,Associate Political Consultant,10.2,19
Gupshup Technologies,,,19
Lowe's,Associate Software Engineer,14.15,18.76
IBM,Software Developer (Systems),17,18.75
IBM,Software Developer (Software Labs),17,18.75
IBM,Software Developer (Cloud),17,18.75
Muses Consulting,Founding Full Stack Engineer,15,18.75
Optum,Full Stack Engineer,15.5,18.5
Amagi,Product Software Engineer,15.17,18.17
IDFC First Bank,Application Engineer,14,18.1
Sprinklr,AI Operations Engineer,18,18
QuickSell (Apport Technologies),Backend Engineer,18,18
QuickSell (Apport Technologies),Frontend Engineer,18,18
VGuard Industries Ltd.,Multiple Profiles,16.2,18
Rapido,Associate Product Engineer,15,18
Propertyguru Technologies,Graduate Engineer,15,18
Cynlr,Software Developer,14,18
Barco,Software Development Engineer,12.94,18
Cleartax,Product Analyst,12,18
RTCamp,WordPress Developer,,18
HCL Tech,Multiple Profiles,,18
Indian Oil Corporation Limited,Officer/Engineer in Grade A,15.39,17.79
Mastercard,Associate Consultant,15,17.73
Genpact,Business Analyst,15,17.5
Sixt,Software Development Engineer - 1,13,17.5
HPE,Software Engineer (R&D),12,17.5
HPE,Software Engineer (Operations),12,17.5
HPE,Software Engineer (CTY),12,17.5
Druva Inc.,,,17.5
H P C L,Officer- Engineering,15.01,17.41
Ion Group,,,17.3
Gnani,AI Research Engineer,15,17.25
Standard Chartered,SDE,15.66,17.22
UIDAI,Technical Executive,17,17
PRAMANA,Engineer - Software,17,17
AspectRatio,Analyst,16,17
Dezerv Investments,Software Engineer,15,17
Dezerv,Software Engineer,15,17
Forsys Inc,Associate Software Engineer,13.16,17
BT Group,Software Engineering Professional,13,17
Druva,,,17
Dolat Capital,Software Developer C++,,17
Nike,Software Engineer - 1,13.85,16.85
Publicis Sapient,Associate Software Development Engineer,15,16.68
ICICI,Manager 1,10.51,16.51
Eleation,CAE Project Engineer,12.6,16.5
FLIPKART,Assistant Manager - Business Development,12,16.5
Juniper Networks,Software Engineering ,,16.5
Sandvine,Software Engineer,12.5,16.37
Sandvine,Software Test Engineer,12.5,16.37
Applied Materials,IT Solutions Management,9.46,16.3
GE Healthcare,Edison Engineering Developer,13,16.2
Xion Multiventures,Trainee Trader and Research,9.6,16.2
SEDEMAC Mechatronics Pvt. Ltd.,"Engineer, Embedded Software",16,16
SEDEMAC Mechatronics Pvt. Ltd.,Multiple Profiles,16,16
Impactsure,Data Science Associate,16,16
Turing,Data Scientist,15.59,16
Qualcomm,Multiple Profiles,15,16
Zeta,Software Development Engineer,14.4,16
Nykaa,SDET (QA Automation),14,16
Licious,Software Engineer,12,16
BlacknGreen,Inovation Engineer,12,16
Ittiam,,,16
Ciena,,,16
ACCENTURE,MC Delivery Associate,12,15.92
Aveva,Software Developer,13.5,15.8
Schlumberger,Electrical Component Hardware Engineer,14.57,15.71
Schlumberger,Electrical Engineer,14.57,15.71
TOM TOM Intl.,,,15.7
Media.net,Site Reliability Engineer,13,15.67
Akamai Technologies,Software Engineer (Cyber Security),,15.44
Akamai Technologies,SDET (Cyber Security),,15.44
ixigo,Software Engineer,15,15
Hexaware Technologies,SPGET,15,15
Beltech AI Private Limited,Data Scientist,15,15
Consultadd Services,Associate Software Engineer,14.97,15
KPIT Technologies,Senior Software Engineer,14.5,15
Ananant Systems,Multiple Profiles,14.26,15
Gigsky,Software Engineer,14,15
SIRIONLABS,Associate Software Engineer,13.6,15
Auroville Investment Management,Multiple Profiles,13.5,15
JK Tech,Associate Consultant,13,15
Tescra,Software Engineer,12,15
Prime Numbers,Software Engineer - 1,12,15
Gajabuja,Associate Software Engineer,10,15
Lemnisk,Software Engineer - Tech Integration,6,15
SigLens,,,15
McKesson,Software Development Engineer (Data),,15
G2,,,15
Flowserve,GET Engineer,,15
Econship,Software Developer (Backend),,15
Cadence,,,15
Aurva,Software Engineer,,15
Schlumberger,Mechanical Engineer,13.9,14.99
Thorogood,Data and AI Consultant,,14.81
Gameberry Labs,Software Development Engineer,13,14.8
Phillips,Software Engineer,11.5,14.5
UBS Business Solutions,,,14.5
Lam Research,Software Engineer - 1,10.9,14.49
DISH Networks,Engineer,12,14.1
Axxela Advisory,Trainee Analyst,10.2,14.1
Grid OS,Operations Associate,6,14.07
Grid OS,SDE,6,14.07
EPAM,Junior Software Engineer,14,14
LightFury Games,Unreal programmer,13.54,14
Egnyte,Software Engineer,13,14
64squares,Data Analyst,12.9,14
Signify Innovation Lab,Assistant Development Engineer,11,14
SignalChip,Design Engineer,11,14
Netradyne,Software Development Engineer in Test,10,14
Bain,Analyst,9.9,14
NVIDIA,,,14
Lumber,Full Stack Developer ,,14
HSBC,Trainee Analyst,,14
ConcentricAI,,,14
Barclays,Technology Graduate Analyst,,14
Avaya,,,14
Maersk Global Service Center,,,13.88
eQ Technologic,,,13.88
Zenoti,Software Engineer,12,13.72
ZS Associates,,,13.65
IG Group,,12,13.63
Mastercard,,,13.4
eQ Technologie (SDE),,,13.4
PubMatic India Pvt Ltd,,,13.39
Decimal Point Analytics,Data Scientist,11.88,13.2
ZL Technologies India Pvt Ltd,Member of Technical Staff-Software Engineer,12,13
Talkdesk,,12,13
ORMAE LLP,OR Scientist I,12,13
Nucleus Software,Software Engineer,11.6,13
Körber,Software Engineer,11.26,13
Tiger Analytics,Trainee - Analyst,11,13
JSW Group,Graduate Engineer Trainee,10.4,13
Futures First,Market Analyst,10,13
Consuma,Software Engineer (Backend),9,13
MAQ Software,Software Engineer 1,7.36,13
Seclore,Product Manager,,13
Pubmatic,,,13
Bharat Electronics,Probationary Engineer (E-II),,13
WCB Robotics,Associate Dessign Engineer- Electronics,12.8,12.8
WCB Robotics,Associate Dessign Engineer- Mechanical,12.8,12.8
WCB Robotics,Associate Dessign Engineer- Robotics,12.8,12.8
Amadeus,Software Development Engineer - 1,10,12.6
ANZ Bank,Graduate/Engineer,12.5,12.5
OYO,Young Leader Program,11.5,12.5
Lohum Cleantech pvt ltd,Graduate Trainee,11.25,12.5
Schlumberger (SLB),,,12.5
LTIMindtree,Multiple Profiles,,12.5
