Company Name,Role,Base,CTC
Fluidyn,,,6
FleetGaurd Filters,,,6
Dataeaze,,,6
ConSecure ,PreSales,,6
Cloudstrats,,,6
Bizom,Marketing,,6
Bizom,,,6
Allied Softech,,,6
6D Technologies,AI & Data Science Engineering ,,6
Worley Services India Pvt Ltd,,,5.8
NCS,,,5.62
PeopleBox,SDET,4.5,5.5
MathCo (The MathCompany),Trainee Analyst,4.5,5.5
Wipro,"Turbo Telecom, Automotive, Embedded & CPPE",,5.5
Toyo Engineering,,,5.5
Thyssenkrupp,,,5.5
Tech Mahindra,Graduate Trainee,,5.5
Tata Consulting Engineers (TCE),,,5.5
Smile Lab,,,5.5
Jisa Softech,,,5.5
DoubleTick,,,5.5
Centiro,,,5.5
Capgemini,,,5.5
AmpereHour Energy,,,5.5
Ellicium,,,5.1
Winman Software,Software Engineer - L2,,5
Tsalla Aerospace,Junior Engineer,,5
Safran Engineering service,,,5
Kenscio,Software Developer ,,5
Jones Lang LaSalle Incorporated India (JLL),,,5
Invimatic,,,5
International Design & Engg. Sol.,,,5
Healthasyst,Software Developer Trainee,,5
Eximietas Design,Engineer,,5
ConSecure,Software Engineer - Full Stack Dev,,5
Cognizant,,,5
BYLD Group,R&D Engineer,,5
IBM,Assoicate System Engineer,,4.75
Torrent Power,,,4.5
Telamon,,,4.5
TATA Technologies,,,4.5
Quality Power,,,4.5
IBM,,,4.5
Healthasyst,Software QA Trainee,,4.5
Cognizant,,,4.5
Bosch,,,4.5
Ascendion,Associate Engineer,,4.5
Adani Cement,,,4.5
Accenture,Associate Software Engineer,,4.5
HCLTech,Graduate Engineer Trainee,,4.25
Eram Magnaflux,,,4.25
Enpro Industries,,,4.25
Capgimini,4.25 LPA Role,,4.25
Shah Technical Consultant,,,4.2
Rudder Analytics,,,4.2
LTIMindTree,Graduate Engineer Trainee,,4.05
VRF Aircon Pvt Ltd,,,4
SimplyFI Softech,Innovation Trainee & Innovation Engineer,,4
Microland,Engineering Trainee,,4
Cognizant GenC,,,4
Arys Garage,Software Engineer,,4
CGI,Associate Software Engineer,,3.92
Shapoorji PallonJi,,,3.75
Nagarjuna Construction Company (NCC),,,3.75
Infosys,Systems Engineer,,3.6
Infosys,,,3.6
Wipro,"Elite - Telecom, Automotive, Embedded & CPPE",,3.5
TCS Ninja,,,3.3
Tech Mahindra,Graduate Trainee,,3.25
